#Ran on LANL cray inside kitten enclaves

 8  	  2.00  	4000000.00 
 16  	  2.00  	8000000.00 
 32  	  2.00  	16000000.00 
 64  	  2.00  	32000000.00 
 128  	  3.00  	42666666.67 
 256  	  4.00  	64000000.00 
 512  	  5.00  	102400000.00 
 1024  	  7.00  	146285714.29 
 2048  	 12.00  	170666666.67 
 4096  	 21.00  	195047619.05 
 8192  	 39.00  	210051282.05
